iter	Passed	Remaining
959	9372	390
960	9382	380
961	9390	370
962	9400	361
963	9409	351
964	9420	341
965	9429	331
966	9439	322
967	9449	312
968	9459	302
969	9468	292
970	9477	283
971	9486	273
972	9499	263
973	9542	254
974	9554	244
975	9565	235
976	9575	225
977	9585	215
978	9594	205
979	9604	196
980	9614	186
981	9623	176
982	9633	166
983	9642	156
984	9651	146
985	9662	137
986	9673	127
987	9682	117
988	9692	107
989	9701	97
990	9712	88
991	9721	78
992	9731	68
993	9742	58
994	9753	49
995	9762	39
996	9772	29
997	9782	19
998	9791	9
999	9801	0
